"X","nama","area","addresses","deskripsi","rating","rating_teks","jml_ulasan","harga_idr","link","lon","lat","geoAddress"
1,"Dafam Fortuna Seturan Yogyakarta","Sleman 
 
 
 ","Jl. Seturan Raya, Sleman, Yogyakarta","Dafam Fortuna Seturan Yogyakarta adalah sebuah pilihan yang sempurna untuk menginap yang membuat anda merasa nyaman untuk tinggal karena letaknya strategis di Yogyakarta, dekat dengan pusat belanja, perkantoran, hiburan dan menawarkan pengalaman yang tak terlupakan dengan desain interior yang nyaman dan modern. Penginapan ini cocok bagi Anda yang ingin berbisnis dan berlibur",8.2,"Luar Biasa",191,640496,"https://www.pegipegi.com/hotel/jogja/hotel_dafam_fortuna_seturan_925021/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.4104487,-7.7669647,"jl. seturan raya, kec. depok, kabupaten sleman, daerah istimewa yogyakarta 55281, indonesia"
2,"Victory Guesthouse","Sleman 
 
 
 ","Jl. Raya Kledokan No. 11, Senturan, Caturtunggal, Depok, Sleman, Yogyakarta, Indonesia","Victory Guesthouse sebuah hunian yang berlokasi di Sleman, Yogyakarta. Suasana ruangan yang bersih dan nyaman, cocok bagi Anda yang akan berlibur atau mengadakan kunjungan bisnis. Lokasi yang strategis sehingga mudah untuk diakses, dan harga yang terjangkau bisa menjadi pilihan akomodasi perjalanan Anda.",9.2,"Istimewa",15,256198,"https://www.pegipegi.com/hotel/jogja/victory_guest_house_jogja_977567/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",NA,NA,"NA"
3,"The Edelweiss Hotel Yogyakarta","Gejayan 
 
 
 ","Jl. Gejayan No.17C, Yogyakarta","Hotel Edelweiss Yogyakarta berdiri di Yogyakarta, dekat dengan lingkungan Universitas dan kawasan perbelanjaan di sepanjang jalan-jalan yang ramai di Jalan Gejayan. Tersedia 95 kamar yang modern dan minimalis untuk memperbaharui pengalaman Anda. dilengkapi dengan akses internet berkecepatan tinggi dan kasur berkualitas disediakan untuk para orang-orang yang suka berpergian dan mencari kenyamanan.",8.3,"Luar Biasa",391,729752,"https://www.pegipegi.com/hotel/jogja/edelweiss_hotel_jogja_936414/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.3879696,-7.7802164,"jl. affandi no.17c, gondokusuman, kota yogyakarta, daerah istimewa yogyakarta 55222, indonesia"
4,"Grand Inna Malioboro","Malioboro 
 
 
 ","Jl. Malioboro No.60, Suryatmajan, Danurejan, Yogyakarta","Grand Inna Malioboro terletak di jalan Malioboro, jalan paling terkenal dan ramai di Yogyakarta.  Properti legendaris ini bagian integral dari Yogyakarta sejak tahun 1908. 223 kamar dengan berbagai akomodasi disediakan di hotel ini. Grand Inna Malioboro juga memiliki fasilitas lainnya untuk memenuhi semua kebutuhan Anda seperti 17 ruang pertemuan, Kolam Renang, pijat dan spa, dan banyak lagi.",8.7,"Luar Biasa",73,1811900,"https://www.pegipegi.com/hotel/jogja/grand_inna_malioboro_927168/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.3660767,-7.7932796,"jl. malioboro no.60, suryatmajan, danurejan, kota yogyakarta, daerah istimewa yogyakarta 55213, indonesia"
5,"Indoluxe Hotel Yogyakarta","Jogja 
 
 
 ","Jl Palagan Tentara Pelajar No 106 Yogyakarta","Indoluxe Hotel Yogyakarta adalah hotel bisnis baru dibangun. Atmosfir yang hangat dimana lingkungan yang modern dan fasilitas menyugguhkan akomodasi yang menyenangkan untuk setiap orang yang mencari kedamaian setelah menempuh perjalanan panjang dan hari kerja yang sibuk.",9,"Luar Biasa",107,1642975,"https://www.pegipegi.com/hotel/jogja/indoluxe_hotel_yogyakarta_955168/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.3728186,-7.750414,"jl. palagan tentara pelajar no.106, sariharjo, ngaglik, kabupaten sleman, daerah istimewa yogyakarta 55581, indonesia"
6,"Hotel Melia Purosani","Malioboro 
 
 
 ","Jl. Suryotomo No.31, Yogyakarta, Indonesia","Dibangun di sebuah kota yang kaya dengan tradisi Jawa, Melia Purosani berdiri sebagai sebuah oase bintang lima. Hotel ini memiliki taman dan laguna, sehingga tercipta sebuah surga di jantung kota. Hotel ini hanya beberapa menit jalan kaki dari tempat-tempat wisata terkenal seperti area perbelanjaan Malioboro, Keraton dan satu jam dari Candi Borobudur.",9.7,"Istimewa",22,864876,"https://www.pegipegi.com/hotel/jogja/hotel_melia_purosani_jogja_920390/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",NA,NA,"NA"
7,"The Westlake Resort Yogya","Sleman 
 
 
 ","Jl. Ring Road Barat, Bedog, Trihanggo, Sleman, Yogyakarta, Indonesia","The Westlake Resort merupakan resort unik, luas dan mewah dengan suasana yang tenang, damai serta nyaman. Lokasi yang strategis di kota, tepat di sudut barat Yogyakarta akan memudahkan anda menemukannya. Resort dan Resto yang di padupadankan akan menjadi daya tarik anda untuk menginap dan berlibur.",9.1,"Istimewa",53,909090,"https://www.pegipegi.com/hotel/jogja/the_westlake_resort_yogyakarta_947578/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.337578,-7.747496,"jalan ringroad barat, bedog, trihanggo, gamping, kabupaten sleman, daerah istimewa yogyakarta 55291, indonesia"
8,"GAIA Cosmo Hotel","Timoho 
 
 
 ","Jl. Ipda Tut Harsono Timoho No. 16, Yogyakarta, Indonesia","Terletak di kawasan Timoho, Jl. Jl. Ipda Tut Harsono 16, Yogyakarta.Kami menawarkan 179, 9 Rapat luar biasa Kamar, Kolam Renang, Semeja Asia dapur, Inspira Roasters Artisan kopi, bersantai dan Naicla Skybar Lounge.Our Semeja Asia Kitchen menyajikan kelezatan hidangan lokal makanan pokok.",9.3,"Istimewa",54,650000,"https://www.pegipegi.com/hotel/jogja/gaia_cosmo_hotel_jogja_968760/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",110.3926935,-7.7989698,"jl. ipda tut harsono no.16, muja muju, umbulharjo, kota yogyakarta, daerah istimewa yogyakarta 55165, indonesia"
9,"Hotel New Saphir Yogyakarta","Gejayan 
 
 
 ","Jl. Laksda Adisucipto No.38, Yogyakarta","Hotel Saphir Yogyakarta adalah hotel bintang empat dengan 206 kamar dan suite serta dengan 14 restoran multifungsi, lounge, kolam renang outdoor, fitness, toko kerajinan dan batik. Nikmati akses internet gratis kami melalui jaringan Wi-Fi yang akan memungkinkan para tamu untuk tetap terkoneksi dengan browsing tak terbatas di lobi, kedai kopi, dan Mirah lounge.",8.8,"Luar Biasa",71,1289256,"https://www.pegipegi.com/hotel/jogja/hotel_new_saphir_yogyakarta_922334/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",NA,NA,"NA"
10,"Adhisthana Hotel","Prawirotaman 
 
 
 ","Jl. Prawirotaman II No.613, Mergangsan, Yogyakarta, Indonesia","Terletak di daerah Prawirotaman, lingkungan yang santai berada di bagian selatan Yogyakarta. Kawasan yang ramai dipenuhi dengan restoran, toko roti, serta toko-toko lainnya. Hotel yang dirancang dipengaruhi gaya cina dan eropa yang memberikan pengalaman tak terlupakan bagi para tamu. Hanya beberapa menit dari Royal Palace Yogyakarta.",8.9,"Luar Biasa",101,157024,"https://www.pegipegi.com/hotel/jogja/adhisthana_hotel_jogja_921736/?stayYear=2018&stayMonth=03&stayDay=30&stayCount=2&roomCrack=100000&autocomplete=Jogja&errorNotification=past_date_20180329",NA,NA,"NA"
